ell R_ell F_ell N_ell
2 0.0017824137825191092 8.301418258107806e-06 0.0017741123642610014
3 0.0002804695346597936 2.4855023022369285e-06 0.00027798403235755663
4 0.0002667955173354261 5.427781161587514e-06 0.00026136773617383856
5 0.00022440323861608867 5.779194017043495e-06 0.00021862404459904516
6 0.00017506983752025652 1.5070465773124556e-06 0.00017356279094294405
7 0.00014865668086031932 1.3140447693075821e-06 0.00014734263609101174
8 0.00013684915899175688 2.975149402655421e-06 0.00013387400958910146
9 0.00012661347108887066 4.054746426030386e-06 0.00012255872466284027
10 0.00012501887702845346 3.5531197032480167e-06 0.00012146575732520544
11 0.00010353719188793558 2.9165794553870393e-06 0.00010062061243254853
12 9.567053918383791e-05 2.1182998450209944e-06 9.355223933881691e-05
13 0.00010677713146436206 1.2112496279319313e-06 0.00010556588183643013
14 8.938920580238972e-05 2.597485713566882e-06 8.679172008882284e-05
15 8.736697716450436e-05 2.7691034077515288e-06 8.459787375675283e-05
16 8.09327966396028e-05 1.1830957051044916e-06 7.974970093449831e-05
17 7.563137844743717e-05 3.5058443436637223e-06 7.212553410377345e-05
18 6.915573249184256e-05 1.7966906163242888e-06 6.735904187551826e-05
19 5.79587047716668e-05 1.623401042289126e-06 5.633530372937767e-05
20 5.5106584120061894e-05 1.8767271513562857e-06 5.322985696870561e-05
21 5.62894892650473e-05 1.8275234894586493e-06 5.446196577558865e-05
22 5.4174914831879637e-05 2.308946108118713e-06 5.186596872376092e-05
23 4.890294839149582e-05 2.010618074088245e-06 4.689233031740758e-05
24 4.917180728987054e-05 1.1110720117025457e-06 4.806073527816799e-05
25 4.663247344580557e-05 1.4423601326056152e-06 4.5190113313199955e-05
26 4.410269970605371e-05 1.852171463856951e-06 4.225052824219676e-05
27 4.207273806845713e-05 1.2162081057896068e-06 4.085652996266752e-05
28 3.940703770949407e-05 1.104525766702644e-06 3.830251194279142e-05
29 3.754729259012913e-05 8.10256435982517e-07 3.6737036154146616e-05
30 3.778272657226816e-05 9.21440641885741e-07 3.6861285930382424e-05
31 3.6745106604738195e-05 8.645045234542983e-07 3.58806020812839e-05
32 3.641164030901437e-05 1.0527908778435886e-06 3.535884943117078e-05
33 3.448663220214702e-05 1.1742049138154895e-06 3.331242728833153e-05
34 3.337005474693008e-05 1.0868812647281628e-06 3.228317348220192e-05
