# All N_ell in µK^2
# ell   |   N_ell_TT   |   N_ell_EE
2.000000000000000000e+00 8.461595768787252922e-08 1.692319153757451114e-07
3.000000000000000000e+00 8.461596543499337324e-08 1.692319308699867994e-07
4.000000000000000000e+00 8.461597576448893482e-08 1.692319515289779226e-07
5.000000000000000000e+00 8.461598867636018014e-08 1.692319773527204132e-07
6.000000000000000000e+00 8.461600417060826061e-08 1.692320083412165742e-07
7.000000000000000000e+00 8.461602224723461885e-08 1.692320444944692906e-07
8.000000000000000000e+00 8.461604290624089598e-08 1.692320858124818449e-07
9.000000000000000000e+00 8.461606614762897135e-08 1.692321322952579956e-07
1.000000000000000000e+01 8.461609197140101549e-08 1.692321839428020839e-07
1.100000000000000000e+01 8.461612037755934450e-08 1.692322407551187419e-07
1.200000000000000000e+01 8.461615136610660535e-08 1.692323027322132636e-07
1.300000000000000000e+01 8.461618493704557739e-08 1.692323698740912077e-07
1.400000000000000000e+01 8.461622109037938403e-08 1.692324421807588210e-07
1.500000000000000000e+01 8.461625982611130754e-08 1.692325196522226680e-07
1.600000000000000000e+01 8.461630114424493457e-08 1.692326022884899221e-07
1.700000000000000000e+01 8.461634504478398412e-08 1.692326900895680212e-07
1.800000000000000000e+01 8.461639152773253254e-08 1.692327830554651180e-07
1.900000000000000000e+01 8.461644059309480175e-08 1.692328811861896564e-07
2.000000000000000000e+01 8.461649224087527839e-08 1.692329844817506097e-07
2.100000000000000000e+01 8.461654647107874025e-08 1.692330929421575334e-07
2.200000000000000000e+01 8.461660328371009748e-08 1.692332065674202479e-07
2.300000000000000000e+01 8.461666267877460433e-08 1.692333253575492616e-07
2.400000000000000000e+01 8.461672465627763415e-08 1.692334493125553212e-07
2.500000000000000000e+01 8.461678921622491767e-08 1.692335784324498883e-07
2.600000000000000000e+01 8.461685635862233116e-08 1.692337127172447153e-07
2.700000000000000000e+01 8.461692608347605533e-08 1.692338521669521636e-07
2.800000000000000000e+01 8.461699839079242968e-08 1.692339967815849123e-07
2.900000000000000000e+01 8.461707328057811137e-08 1.692341465611562757e-07
3.000000000000000000e+01 8.461715075283992960e-08 1.692343015056799121e-07
3.100000000000000000e+01 8.461723080758500474e-08 1.692344616151700624e-07
3.200000000000000000e+01 8.461731344482065568e-08 1.692346268896413643e-07
3.300000000000000000e+01 8.461739866455443954e-08 1.692347973291089320e-07
3.400000000000000000e+01 8.461748646679417815e-08 1.692349729335884092e-07
3.500000000000000000e+01 8.461757685154789185e-08 1.692351537030958366e-07
3.600000000000000000e+01 8.461766981882385244e-08 1.692353396376477578e-07
3.700000000000000000e+01 8.461776536863059644e-08 1.692355307372612458e-07
3.800000000000000000e+01 8.461786350097685885e-08 1.692357270019537706e-07
3.900000000000000000e+01 8.461796421587159972e-08 1.692359284317432524e-07
4.000000000000000000e+01 8.461806751332408345e-08 1.692361350266482198e-07
4.100000000000000000e+01 8.461817339334374653e-08 1.692363467866875460e-07
4.200000000000000000e+01 8.461828185594029013e-08 1.692365637118806332e-07
4.300000000000000000e+01 8.461839290112362718e-08 1.692367858022473073e-07
4.400000000000000000e+01 8.461850652890393531e-08 1.692370130578079236e-07
4.500000000000000000e+01 8.461862273929161715e-08 1.692372454785832872e-07
4.600000000000000000e+01 8.461874153229732678e-08 1.692374830645947065e-07
4.700000000000000000e+01 8.461886290793193005e-08 1.692377258158639130e-07
4.800000000000000000e+01 8.461898686620651779e-08 1.692379737324130885e-07
4.900000000000000000e+01 8.461911340713247201e-08 1.692382268142649970e-07
5.000000000000000000e+01 8.461924253072137324e-08 1.692384850614427994e-07
5.100000000000000000e+01 8.461937423698502699e-08 1.692387484739701069e-07
5.200000000000000000e+01 8.461950852593551674e-08 1.692390170518710864e-07
5.300000000000000000e+01 8.461964539758511120e-08 1.692392907951702753e-07
5.400000000000000000e+01 8.461978485194637031e-08 1.692395697038927936e-07
5.500000000000000000e+01 8.461992688903203925e-08 1.692398537780641314e-07
5.600000000000000000e+01 8.462007150885512793e-08 1.692401430177103088e-07
5.700000000000000000e+01 8.462021871142887123e-08 1.692404374228577954e-07
5.800000000000000000e+01 8.462036849676676874e-08 1.692407369935335904e-07
5.900000000000000000e+01 8.462052086488251857e-08 1.692410417297650901e-07
6.000000000000000000e+01 8.462067581579007029e-08 1.692413516315801935e-07
6.100000000000000000e+01 8.462083334950362495e-08 1.692416666990073028e-07
6.200000000000000000e+01 8.462099346603758210e-08 1.692419869320752171e-07
6.300000000000000000e+01 8.462115616540663247e-08 1.692423123308133179e-07
6.400000000000000000e+01 8.462132144762565207e-08 1.692426428952513571e-07
6.500000000000000000e+01 8.462148931270978163e-08 1.692429786254196162e-07
6.600000000000000000e+01 8.462165976067436037e-08 1.692433195213487737e-07
6.700000000000000000e+01 8.462183279153505840e-08 1.692436655830701697e-07
6.800000000000000000e+01 8.462200840530766496e-08 1.692440168106153829e-07
6.900000000000000000e+01 8.462218660200828690e-08 1.692443732040166267e-07
7.000000000000000000e+01 8.462236738165321637e-08 1.692447347633064857e-07
7.100000000000000000e+01 8.462255074425903669e-08 1.692451014885181263e-07
7.200000000000000000e+01 8.462273668984251646e-08 1.692454733796850859e-07
7.300000000000000000e+01 8.462292521842067575e-08 1.692458504368414044e-07
7.400000000000000000e+01 8.462311633001078609e-08 1.692462326600216251e-07
7.500000000000000000e+01 8.462331002463035724e-08 1.692466200492607674e-07
7.600000000000000000e+01 8.462350630229708425e-08 1.692470126045942214e-07
7.700000000000000000e+01 8.462370516302899304e-08 1.692474103260580390e-07
7.800000000000000000e+01 8.462390660684424188e-08 1.692478132136885367e-07
7.900000000000000000e+01 8.462411063376131991e-08 1.692482212675226928e-07
8.000000000000000000e+01 8.462431724379888832e-08 1.692486344875978296e-07
8.100000000000000000e+01 8.462452643697583330e-08 1.692490528739517195e-07
8.200000000000000000e+01 8.462473821331135868e-08 1.692494764266227703e-07
8.300000000000000000e+01 8.462495257282484033e-08 1.692499051456497336e-07
8.400000000000000000e+01 8.462516951553589237e-08 1.692503390310718377e-07
8.500000000000000000e+01 8.462538904146439359e-08 1.692507780829288401e-07
8.600000000000000000e+01 8.462561115063043455e-08 1.692512223012609220e-07
8.700000000000000000e+01 8.462583584305434406e-08 1.692516716861087411e-07
8.800000000000000000e+01 8.462606311875671560e-08 1.692521262375134841e-07
8.900000000000000000e+01 8.462629297775835441e-08 1.692525859555167618e-07
9.000000000000000000e+01 8.462652542008030397e-08 1.692530508401606609e-07
9.100000000000000000e+01 8.462676044574384598e-08 1.692535208914877449e-07
9.200000000000000000e+01 8.462699805477048714e-08 1.692539961095410272e-07
9.300000000000000000e+01 8.462723824718202532e-08 1.692544764943641036e-07
9.400000000000000000e+01 8.462748102300039071e-08 1.692549620460008344e-07
9.500000000000000000e+01 8.462772638224789736e-08 1.692554527644958477e-07
9.600000000000000000e+01 8.462797432494692545e-08 1.692559486498939038e-07
9.700000000000000000e+01 8.462822485112022577e-08 1.692564497022405045e-07
9.800000000000000000e+01 8.462847796079072113e-08 1.692569559215814952e-07
9.900000000000000000e+01 8.462873365398159908e-08 1.692574673079632511e-07
1.000000000000000000e+02 8.462899193071625889e-08 1.692579838614325707e-07
1.010000000000000000e+02 8.462925279101836454e-08 1.692585055820367820e-07
1.020000000000000000e+02 8.462951623491180502e-08 1.692590324698236630e-07
1.030000000000000000e+02 8.462978226242068106e-08 1.692595645248414151e-07
1.040000000000000000e+02 8.463005087356937132e-08 1.692601017471387956e-07
1.050000000000000000e+02 8.463032206838245299e-08 1.692606441367649589e-07
1.060000000000000000e+02 8.463059584688478121e-08 1.692611916937696154e-07
1.070000000000000000e+02 8.463087220910140960e-08 1.692617444182028721e-07
1.080000000000000000e+02 8.463115115505764329e-08 1.692623023101153395e-07
1.090000000000000000e+02 8.463143268477902561e-08 1.692628653695581042e-07
1.100000000000000000e+02 8.463171679829135137e-08 1.692634335965827557e-07
1.110000000000000000e+02 8.463200349562062711e-08 1.692640069912413072e-07
1.120000000000000000e+02 8.463229277679308439e-08 1.692645855535862217e-07
1.130000000000000000e+02 8.463258464183523269e-08 1.692651692836705183e-07
1.140000000000000000e+02 8.463287909077380650e-08 1.692657581815476659e-07
1.150000000000000000e+02 8.463317612363573882e-08 1.692663522472715306e-07
1.160000000000000000e+02 8.463347574044824057e-08 1.692669514808965341e-07
1.170000000000000000e+02 8.463377794123876091e-08 1.692675558824775748e-07
1.180000000000000000e+02 8.463408272603497401e-08 1.692681654520700010e-07
