# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.638132562595e-10       7.638713793032e-15       2.338960163295e-13       6.847201013691e-17       8.379374847487e-11       8.967301999037e-12      -9.316695675024e-15 
   41       1.662577511165e-10       8.295047061126e-15       2.246077318211e-13       7.193989280108e-17       7.964968746766e-11       8.562795559720e-12      -8.175352937379e-15 
   42       1.687275447723e-10       8.986848581876e-15       2.137832991268e-13       7.549541239259e-17       7.578196173484e-11       8.185595412987e-12      -7.068476355915e-15 
   43       1.712197261996e-10       9.714826436078e-15       2.014652647325e-13       7.913866675906e-17       7.214874650670e-11       7.831667193104e-12      -6.372603185204e-15 
   44       1.737374910960e-10       1.047950916199e-14       1.876555559793e-13       8.286968884753e-17       6.874440981777e-11       7.500252881268e-12      -6.113203327089e-15 
   45       1.762838260842e-10       1.128132520349e-14       1.723484561554e-13       8.668847874020e-17       6.556545179559e-11       7.190669533078e-12      -6.201518197034e-15 
   46       1.788589314709e-10       1.212063106354e-14       1.555432901629e-13       9.059501523727e-17       6.259694918733e-11       6.901029680985e-12      -6.524052188020e-15 
   47       1.814599531136e-10       1.299770777555e-14       1.372445784821e-13       9.458925480716e-17       5.981166488651e-11       6.628148653643e-12      -6.941055444673e-15 
   48       1.840827967053e-10       1.391278262818e-14       1.174503517289e-13       9.867112655654e-17       5.717842658907e-11       6.368497946470e-12      -7.317465664353e-15 
   49       1.867288010333e-10       1.486610981481e-14       9.611283993420e-14       1.028405179134e-16       5.469213341832e-11       6.121599378360e-12      -7.629587627761e-15 
   50       1.893994851481e-10       1.585790645561e-14       7.316696658058e-14       1.070972831043e-16       5.235067786697e-11       5.887428470423e-12      -7.885878557395e-15 
   51       1.920944722813e-10       1.688832714397e-14       4.854078150566e-14       1.114412455607e-16       5.014600789078e-11       5.665413586531e-12      -8.097250052818e-15 
