39 1.1045e-04 3.7202e-06 1.8160e-07 4.9157e+00 7.4618e-03 5.7056e-04 7.3143e-10 2.4974e-13 5.7000e-01
40 1.1046e-04 3.7243e-06 1.8197e-07 4.7460e+00 6.8784e-03 5.7821e-04 6.9716e-10 2.3253e-13 5.7000e-01
41 1.1046e-04 3.7285e-06 1.8232e-07 4.5869e+00 6.2975e-03 5.8585e-04 6.6526e-10 2.1670e-13 5.7000e-01
42 1.1047e-04 3.7328e-06 1.8267e-07 4.4376e+00 5.7212e-03 5.9347e-04 6.3552e-10 2.0214e-13 5.7000e-01
43 1.1048e-04 3.7372e-06 1.8301e-07 4.2976e+00 5.1521e-03 6.0105e-04 6.0775e-10 1.8880e-13 5.7000e-01
44 1.1049e-04 3.7417e-06 1.8334e-07 4.1662e+00 4.5927e-03 6.0860e-04 5.8180e-10 1.7657e-13 5.7000e-01
45 1.1050e-04 3.7463e-06 1.8368e-07 4.0428e+00 4.0451e-03 6.1612e-04 5.5752e-10 1.6539e-13 5.7000e-01
46 1.1051e-04 3.7511e-06 1.8401e-07 3.9267e+00 3.5084e-03 6.2358e-04 5.3478e-10 1.5516e-13 5.7000e-01
47 1.1052e-04 3.7559e-06 1.8436e-07 3.8174e+00 2.9814e-03 6.3099e-04 5.1345e-10 1.4580e-13 5.7000e-01
48 1.1053e-04 3.7609e-06 1.8471e-07 3.7141e+00 2.4629e-03 6.3835e-04 4.9343e-10 1.3721e-13 5.7000e-01
49 1.1054e-04 3.7659e-06 1.8507e-07 3.6165e+00 1.9515e-03 6.4565e-04 4.7462e-10 1.2926e-13 5.7000e-01
50 1.1055e-04 3.7711e-06 1.8544e-07 3.5237e+00 1.4462e-03 6.5288e-04 4.5691e-10 1.2185e-13 5.7000e-01
51 1.1057e-04 3.7764e-06 1.8582e-07 3.4357e+00 9.4713e-04 6.6004e-04 4.4024e-10 1.1495e-13 5.7000e-01
52 1.1058e-04 3.7818e-06 1.8621e-07 3.3521e+00 4.5452e-04 6.6712e-04 4.2452e-10 1.0851e-13 5.7000e-01
