# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.638744686386e-10       7.639931371582e-15       2.341040830233e-13       6.809592414181e-17       8.377827121132e-11       8.969768869433e-12      -9.092710438866e-15 
   41       1.663250162243e-10       8.297174831582e-15       2.247846890745e-13       7.154508298818e-17       7.963407208025e-11       8.571260136506e-12      -8.190463222154e-15 
   42       1.687866859533e-10       8.989859242044e-15       2.138605237312e-13       7.508157028260e-17       7.575834537046e-11       8.193491807901e-12      -7.210009844909e-15 
   43       1.712684435538e-10       9.718366571890e-15       2.014078378792e-13       7.870545662616e-17       7.214080885570e-11       7.837604614639e-12      -6.325591099147e-15 
   44       1.737772387737e-10       1.048298596584e-14       1.875274900902e-13       8.241679786275e-17       6.875514850282e-11       7.503658010273e-12      -5.743885445088e-15 
   45       1.763176524675e-10       1.128399445400e-14       1.723094356387e-13       8.621562275770e-17       6.556841838619e-11       7.190882970315e-12      -5.643758262938e-15 
   46       1.788913126373e-10       1.212193955217e-14       1.557104170726e-13       9.010189358931e-17       6.257559916849e-11       6.898757193316e-12      -5.969784029128e-15 
   47       1.814968702703e-10       1.299743270362e-14       1.376419576637e-13       9.407553236944e-17       5.977320020263e-11       6.626087715163e-12      -6.580060262560e-15 
   48       1.841298284744e-10       1.391107091074e-14       1.180032424721e-13       9.813642986528e-17       5.714883598173e-11       6.370615704566e-12      -7.301175075055e-15 
   49       1.867822819640e-10       1.486343670487e-14       9.668031962110e-14       1.022844441106e-16       5.468056469089e-11       6.128940369288e-12      -7.926435257702e-15 
   50       1.894461374931e-10       1.585501334436e-14       7.356958865879e-14       1.065194050722e-16       5.234349608493e-11       5.897495603473e-12      -8.270400680774e-15 
   51       1.921244100895e-10       1.688590334180e-14       4.865763496321e-14       1.108411335966e-16       5.013326420265e-11       5.675968994344e-12      -8.354049341110e-15 
