# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.636991526835e-10       7.625829951435e-15       2.339273712594e-13       6.309084574274e-17       8.403509873673e-11       8.996549176009e-12      -9.378379655858e-15 
   41       1.661463742846e-10       8.282036183587e-15       2.246377281401e-13       6.628988367871e-17       7.987394158482e-11       8.596922329628e-12      -8.499436227950e-15 
   42       1.686045335777e-10       8.973624729575e-15       2.137304313899e-13       6.957093377810e-17       7.598238686304e-11       8.217884316477e-12      -7.466788387629e-15 
   43       1.710826899879e-10       9.700970922464e-15       2.012815611902e-13       7.293408382795e-17       7.235010792639e-11       7.860614792056e-12      -6.484513145193e-15 
   44       1.735879108597e-10       1.046435643195e-14       1.873920761696e-13       7.637939453087e-17       6.895068314261e-11       7.525219862883e-12      -5.796199691182e-15 
   45       1.761248844079e-10       1.126405753001e-14       1.721530821702e-13       7.990687898254e-17       6.575103300082e-11       7.210982138501e-12      -5.616227202924e-15 
   46       1.786952175697e-10       1.210065315039e-14       1.555260884612e-13       8.351643808242e-17       6.274611516789e-11       6.917425728475e-12      -5.893845541964e-15 
   47       1.812974973043e-10       1.297480041243e-14       1.374292398134e-13       8.720790271341e-17       5.993242237651e-11       6.643406719306e-12      -6.482355756044e-15 
   48       1.839271518226e-10       1.388714970217e-14       1.177695701353e-13       9.098104794131e-17       5.729751776310e-11       6.386721097943e-12      -7.202129332151e-15 
   49       1.865761895506e-10       1.483834503863e-14       9.644226928637e-14       9.483559011551e-17       5.481937086960e-11       6.144028892667e-12      -7.838751130775e-15 
   50       1.892364423143e-10       1.582891363308e-14       7.335144266230e-14       9.877120025361e-17       5.247299130362e-11       5.911811695993e-12      -8.198888409365e-15 
   51       1.919109383140e-10       1.685889837642e-14       4.848073400991e-14       1.027875552052e-16       5.025399296586e-11       5.689727633842e-12      -8.300084372724e-15 
