# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.629717776099e-10       7.626964136731e-15       2.338337684661e-13       6.312221609097e-17       8.403315967049e-11       8.982898393597e-12      -6.954397907574e-15 
   41       1.654347878103e-10       8.284716783907e-15       2.248703510130e-13       6.632286921716e-17       7.987206621969e-11       8.584081261848e-12      -6.987065793910e-15 
   42       1.679086952705e-10       8.977788820422e-15       2.143883740671e-13       6.960425514218e-17       7.598057132470e-11       8.206317234046e-12      -7.104359134911e-15 
   43       1.704028005995e-10       9.706839101635e-15       2.023788368392e-13       7.296642836997e-17       7.234834891980e-11       7.850423444219e-12      -7.258872243573e-15 
   44       1.729245079426e-10       1.047248878113e-14       1.888402394121e-13       7.640943645317e-17       6.894897829810e-11       7.516068379845e-12      -7.392453477783e-15 
   45       1.754788349679e-10       1.127531392417e-14       1.737695142637e-13       7.993331375763e-17       6.574938091361e-11       7.202148906467e-12      -7.451753279142e-15 
   46       1.780673486447e-10       1.211582492452e-14       1.571307805917e-13       8.353806094325e-17       6.274451434674e-11       6.908291677467e-12      -7.441929750885e-15 
   47       1.806884922616e-10       1.299447789524e-14       1.388778314992e-13       8.722365905231e-17       5.993087100133e-11       6.633630284991e-12      -7.387902806982e-15 
   48       1.833375478528e-10       1.391167768018e-14       1.189625398422e-13       9.099007452849e-17       5.729601375371e-11       6.376296335500e-12      -7.319836323925e-15 
   49       1.860063758199e-10       1.486777574509e-14       9.733465881349e-14       9.483725869355e-17       5.481791196127e-11       6.133346812570e-12      -7.273426294140e-15 
   50       1.886866499631e-10       1.586303823194e-14       7.395105042168e-14       9.876514708929e-17       5.247157513223e-11       5.901617848233e-12      -7.280658291027e-15 
