    2       1.015380344165e+03       3.092271076014e-02       1.696666926147e-06       2.623075276897e+00       4.942679081183e-08       2.965462191525e-03      -1.229777912040e-05 
    3       9.622279511574e+02       3.972604401239e-02       3.394424911079e-06       2.945542466398e+00       6.077307445956e-08       2.975651847536e-03      -1.318812488649e-05 
    4       9.116231723412e+02       3.445623183652e-02       5.659760915389e-06       2.754001136322e+00       7.037393784103e-08       2.910092715893e-03      -1.116987157460e-05 
    5       8.736801141938e+02       2.305205280375e-02       8.494024116957e-06       2.344997485383e+00       7.876634552969e-08       2.816163791549e-03      -7.632498949842e-06 
    6       8.477116575706e+02       1.292027075851e-02       1.189881398739e-05       1.888264460078e+00       8.612321960073e-08       2.712060573544e-03      -3.746927390880e-06 
    7       8.308854045351e+02       6.984737003543e-03       1.587592785930e-05       1.482262269219e+00       9.263833047887e-08       2.606374536542e-03      -4.215088835635e-07 
    8       8.211821300751e+02       4.500849289364e-03       2.042730325673e-05       1.170051858492e+00       9.844368043874e-08       2.503843360138e-03       1.797014353461e-06 
    9       8.168066876733e+02       3.615690872859e-03       2.555495746407e-05       9.608984413022e-01       1.036222285926e-07       2.407697807963e-03       2.740521632012e-06 
   10       8.161100857719e+02       3.091991682399e-03       3.126092692202e-05       8.449329546121e-01       1.082404842021e-07       2.318779366156e-03       2.567475734675e-06 
   11       8.186569083518e+02       2.608018882755e-03       3.754720903855e-05       8.023739990048e-01       1.094110195307e-07       2.246188270797e-03       1.664604705947e-06 
   12       8.233671938731e+02       2.276928841805e-03       4.441570888890e-05       8.105390901456e-01       1.129698606643e-07       2.160729663911e-03       4.627957413174e-07 
   13       8.298708245353e+02       2.185040342537e-03       5.186819305507e-05       8.494503111433e-01       1.161567654049e-07       2.087431461857e-03      -6.187293076857e-07 
   14       8.377914267145e+02       2.276986791026e-03       5.990625253197e-05       9.041527276422e-01       1.190134284359e-07       2.011269151672e-03      -1.331827835016e-06 
   15       8.470628281353e+02       2.465213077547e-03       6.853127621798e-05       9.648988018884e-01       1.215741336470e-07       1.942630628681e-03      -1.566666407236e-06 
   16       8.571547093867e+02       2.729038078525e-03       7.774443602986e-05       1.026973495305e+00       1.238700786626e-07       1.877788248762e-03      -1.384499602226e-06 
   17       8.682305207703e+02       3.107283237972e-03       8.754668415579e-05       1.089136668925e+00       1.259274746020e-07       1.815546001446e-03      -9.506625100871e-07 
   18       8.798430086821e+02       3.640032444701e-03       9.793875629987e-05       1.152481520308e+00       1.277193154725e-07       1.756681382768e-03      -4.752224468342e-07 
   19       8.920767270666e+02       4.330757965950e-03       1.089212230922e-04       1.218489572410e+00       1.294135533816e-07       1.702690595150e-03      -1.019198947689e-07 
   20       9.048672146849e+02       5.165814171517e-03       1.204944549364e-04       1.288413790412e+00       1.308717732910e-07       1.651053689581e-03       4.543703361170e-08 
   21       9.182338346541e+02       6.139791135078e-03       1.326587497225e-04       1.362127729927e+00       1.321806368104e-07       1.601721972724e-03      -4.199586575431e-08 
   22       9.319966684944e+02       7.247994089086e-03       1.454142895971e-04       1.438449590498e+00       1.333154505462e-07       1.553379368414e-03      -2.948883565501e-07 
   23       9.461832139840e+02       8.492878280201e-03       1.587612831463e-04       1.514836946992e+00       1.343457655826e-07       1.507136876683e-03      -6.240599234805e-07 
   24       9.607337787593e+02       9.877668560257e-03       1.726999220298e-04       1.588011581819e+00       1.352236790960e-07       1.463529752777e-03      -9.129625088054e-07 
   25       9.756758359682e+02       1.140270176784e-02       1.872305343357e-04       1.655898134020e+00       1.360031718676e-07       1.422904232162e-03      -1.093880490596e-06 
   26       9.909436216271e+02       1.306905863252e-02       2.023535344223e-04       1.716806902628e+00       1.366627614942e-07       1.384346123615e-03      -1.124223033379e-06 
   27       1.006486209179e+03       1.489107334960e-02       2.180695481139e-04       1.769898014957e+00       1.372290790925e-07       1.347513884345e-03      -1.028083750865e-06 
   28       1.022195195159e+03       1.688713993715e-02       2.343793766944e-04       1.814808545421e+00       1.376661759541e-07       1.311597056007e-03      -8.661765829132e-07 
   29       1.038140683427e+03       1.906814588729e-02       2.512841052900e-04       1.851957658213e+00       1.380464869928e-07       1.277258583987e-03      -6.861033042199e-07 
   30       1.054367410039e+03       2.144263200476e-02       2.687850506636e-04       1.882279688515e+00       1.383902717904e-07       1.244992425790e-03      -5.454053845998e-07 
   31       1.070842549432e+03       2.401869850987e-02       2.868837447942e-04       1.906735794093e+00       1.386182813799e-07       1.214520054382e-03      -5.053407415005e-07 
   32       1.087587164853e+03       2.680321127439e-02       3.055819292522e-04       1.924950425957e+00       1.387748041783e-07       1.185719970965e-03      -5.627185784175e-07 
   33       1.104574094257e+03       2.980220250517e-02       3.248815946126e-04       1.936057666384e+00       1.388878428476e-07       1.157838478411e-03      -6.813049145770e-07 
   34       1.121725693927e+03       3.302131997774e-02       3.447849402135e-04       1.939106407562e+00       1.389213366362e-07       1.129658835921e-03      -8.132003828256e-07 
   35       1.139061607467e+03       3.646689064735e-02       3.652941557675e-04       1.933290361739e+00       1.389067442241e-07       1.101691027918e-03      -9.290887823145e-07 
   36       1.156589931169e+03       4.014516394831e-02       3.864115907844e-04       1.917784675774e+00       1.388507526503e-07       1.074875086115e-03      -9.999653040535e-07 
   37       1.174286394144e+03       4.406212288800e-02       4.081396712849e-04       1.891815623696e+00       1.387146665948e-07       1.049919119832e-03      -9.985725649321e-07 
   38       1.192178462509e+03       4.822390185464e-02       4.304803668000e-04       1.855129884931e+00       1.385363939429e-07       1.027017069046e-03      -9.349998400258e-07 
