# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.629189232926e-10       7.625358988496e-15       2.332986107614e-13       6.808960944950e-17       8.377774330659e-11       8.947201979512e-12      -6.719532797994e-15 
   41       1.653783949008e-10       8.282182126188e-15       2.243503147429e-13       7.153854308170e-17       7.963356875385e-11       8.550521302808e-12      -6.762411977212e-15 
   42       1.678491316069e-10       8.974310254737e-15       2.139258589355e-13       7.507480415745e-17       7.575786589346e-11       8.174826609250e-12      -6.823442784904e-15 
   43       1.703403474364e-10       9.702510713928e-15       2.019815654129e-13       7.869846157134e-17       7.214035234662e-11       7.820861065270e-12      -6.894328866126e-15 
   44       1.728593340646e-10       1.046753247187e-14       1.884740016707e-13       8.240956912713e-17       6.875471396707e-11       7.488210983433e-12      -6.964651879787e-15 
   45       1.754109874017e-10       1.127004478346e-14       1.733642631792e-13       8.620815341226e-17       6.556800474054e-11       7.175705715719e-12      -7.024753285757e-15 
   46       1.779968029993e-10       1.211043303386e-14       1.566325335393e-13       9.009417508923e-17       6.257520520598e-11       6.882996537588e-12      -7.075722628759e-15 
   47       1.806151584434e-10       1.298894060666e-14       1.382677431625e-13       9.406755459484e-17       5.977282460626e-11       6.609278969864e-12      -7.122167579255e-15 
   48       1.832612584775e-10       1.390572007221e-14       1.182637536802e-13       9.812818096062e-17       5.714847735869e-11       6.352763696909e-12      -7.169496220850e-15 
   49       1.859268740156e-10       1.486082896036e-14       9.661953029864e-14       1.022759103184e-16       5.468022160972e-11       6.110604960299e-12      -7.223956821677e-15 
   50       1.886036174280e-10       1.585428820016e-14       7.333260644826e-14       1.065105708336e-16       5.234316713624e-11       5.879725862468e-12      -7.291172094119e-15 
   51       1.912944219778e-10       1.688628594686e-14       4.837698655397e-14       1.108319825521e-16       5.013294813081e-11       5.659724501467e-12      -7.371180667477e-15 
   52       1.940047272164e-10       1.795702177440e-14       2.171954314821e-14       1.152399403574e-16       4.804747848997e-11       5.450632897716e-12      -7.462118426383e-15 
   53       1.967391227182e-10       1.906664759622e-14      -6.673939557853e-15       1.197342068495e-16       4.607992755271e-11       5.252060327670e-12      -7.561576047689e-15 
   54       1.995012535064e-10       2.021526638704e-14      -3.683890897590e-14       1.243145111536e-16       4.421840074212e-11       5.063163925022e-12      -7.666567924242e-15 
   55       2.022937511557e-10       2.140291374864e-14      -6.880554567641e-14       1.289805801170e-16       4.244956882344e-11       4.882954246106e-12      -7.773805230794e-15 
   56       2.051182237164e-10       2.262950017252e-14      -1.025770492439e-13       1.337322437080e-16       4.077134308319e-11       4.711368207797e-12      -7.880665751889e-15 
   57       2.079750976332e-10       2.389485219523e-14      -1.381462091659e-13       1.385693537127e-16       3.918278955544e-11       4.548411196122e-12      -7.984410547600e-15 
   58       2.108635003131e-10       2.519872639342e-14      -1.755014610305e-13       1.434917537082e-16       3.768029436916e-11       4.393829462332e-12      -8.081882111803e-15 
   59       2.137811665520e-10       2.654080743731e-14      -2.146267710582e-13       1.484992791322e-16       3.625739823213e-11       4.247093774662e-12      -8.169485145654e-15 
   60       2.167243449607e-10       2.792070614402e-14      -2.555015206331e-13       1.535917573533e-16       3.490463091474e-11       4.107383070090e-12      -8.243167331057e-15 
   61       2.196893018529e-10       2.933796924715e-14      -2.981055902315e-13       1.587690452350e-16       3.361214118895e-11       3.973822712105e-12      -8.299448675183e-15 
   62       2.226774390620e-10       3.079211567159e-14      -3.424362059226e-13       1.640311515241e-16       3.237865091166e-11       3.846298742398e-12      -8.338823032117e-15 
   63       2.256911640528e-10       3.228260498376e-14      -3.884946865534e-13       1.693781421826e-16       3.120422621683e-11       3.724798218236e-12      -8.363089446149e-15 
   64       2.287323517907e-10       3.380882485020e-14      -4.362816265518e-13       1.748101065526e-16       3.008758411553e-11       3.609162628214e-12      -8.374384719799e-15 
   65       2.318023018543e-10       3.537008946278e-14      -4.857969454300e-13       1.803271586159e-16       2.902601567746e-11       3.499079622472e-12      -8.375197457651e-15 
   66       2.349016955477e-10       3.696563796377e-14      -5.370399372900e-13       1.859294382534e-16       2.801530921243e-11       3.394074742914e-12      -8.368382110195e-15 
   67       2.380305530138e-10       3.859463287097e-14      -5.900093203268e-13       1.916171125048e-16       2.704967345193e-11       3.293503153419e-12      -8.357173017657e-15 
   68       2.411886894394e-10       4.025618859411e-14      -6.446996470890e-13       1.973903638793e-16       2.612328442470e-11       3.196723322789e-12      -8.344478271434e-15 
   69       2.443772868805e-10       4.194946721379e-14      -7.010895799559e-13       2.032493497205e-16       2.523546176627e-11       3.103677425557e-12      -8.330563756039e-15 
   70       2.475975653488e-10       4.367359936988e-14      -7.591513179794e-13       2.091942368326e-16       2.438640808511e-11       3.014414229813e-12      -8.314922905900e-15 
   71       2.508502823165e-10       4.542765509658e-14      -8.188539831387e-13       2.152252146131e-16       2.357564341177e-11       2.928913998635e-12      -8.296951069904e-15 
   72       2.541357025937e-10       4.721064301717e-14      -8.801635767687e-13       2.213424959809e-16       2.280196990713e-11       2.847084873834e-12      -8.275941136236e-15 
   73       2.574535682051e-10       4.902150953875e-14      -9.430429359893e-13       2.275463183051e-16       2.206343657064e-11       2.768759259684e-12      -8.251079157235e-15 
   74       2.608030682676e-10       5.085913804693e-14      -1.007451690135e-12       2.338369443332e-16       2.135730394849e-11       2.693690206664e-12      -8.221439974242e-15 
   75       2.641828088677e-10       5.272234810058e-14      -1.073346217182e-12       2.402146631198e-16       2.068000884183e-11       2.621547795194e-12      -8.185982842446e-15 
   76       2.675914181074e-10       5.460989461200e-14      -1.140682302469e-12       2.466797420485e-16       2.002804897099e-11       2.552002981440e-12      -8.144022207484e-15 
   77       2.710295552093e-10       5.652046699494e-14      -1.209423770889e-12       2.532322707455e-16       1.940090122648e-11       2.485004780304e-12      -8.096748817481e-15 
   78       2.744982147571e-10       5.845268839751e-14      -1.279535356970e-12       2.598722902572e-16       1.879857392948e-11       2.420547292906e-12      -8.045979333077e-15 
   79       2.779981072065e-10       6.040511491035e-14      -1.350980153888e-12       2.665998393590e-16       1.822071792402e-11       2.358584935329e-12      -7.993711064720e-15 
   80       2.815296417876e-10       6.237623476107e-14      -1.423719625304e-12       2.734149544800e-16       1.766661014972e-11       2.299030615839e-12      -7.942127340888e-15 
   81       2.850929094063e-10       6.436446750871e-14      -1.497713617207e-12       2.803176696295e-16       1.713513721436e-11       2.241753912105e-12      -7.893602876308e-15 
   82       2.886876655464e-10       6.636816323810e-14      -1.572920369757e-12       2.873080163218e-16       1.662477896661e-11       2.186579248412e-12      -7.850709140177e-15 
   83       2.923133131716e-10       6.838560175437e-14      -1.649296529127e-12       2.943860235021e-16       1.613359206865e-11       2.133284072884e-12      -7.816219724385e-15 
   84       2.959692336598e-10       7.041503942353e-14      -1.726796796469e-12       3.015517362515e-16       1.565968243782e-11       2.081654326547e-12      -7.792297148249e-15 
   85       2.996558800945e-10       7.245486038098e-14      -1.805372782028e-12       3.088052756259e-16       1.520274854425e-11       2.031665408824e-12      -7.777886619431e-15 
   86       3.033738347123e-10       7.450344902977e-14      -1.884973981896e-12       3.161467886467e-16       1.476276503010e-11       1.983328009788e-12      -7.770898047302e-15 
   87       3.071234659016e-10       7.655914461840e-14      -1.965548129649e-12       3.235764306414e-16       1.433950849822e-11       1.936632638468e-12      -7.768977925925e-15 
   88       3.109049169543e-10       7.862024123603e-14      -2.047041202089e-12       3.310943654846e-16       1.393254930109e-11       1.891548762951e-12      -7.769500944912e-15 
   89       3.147180948165e-10       8.068498780769e-14      -2.129397424993e-12       3.387007658393e-16       1.354124332974e-11       1.848023950488e-12      -7.769561600270e-15 
   90       3.185626588399e-10       8.275158808947e-14      -2.212559278849e-12       3.463958133984e-16       1.316472380270e-11       1.805983007604e-12      -7.765965805257e-15 
   91       3.224380095327e-10       8.481820066375e-14      -2.296467504603e-12       3.541796991252e-16       1.280189305497e-11       1.765327120202e-12      -7.755222501229e-15 
   92       3.263432773112e-10       8.688293893436e-14      -2.381061109402e-12       3.620526234955e-16       1.245141432695e-11       1.725932993669e-12      -7.733535268496e-15 
   93       3.302776058180e-10       8.894390234158e-14      -2.466278079270e-12       3.700148536744e-16       1.211202903632e-11       1.687684132134e-12      -7.697729016516e-15 
   94       3.342410750536e-10       9.099927538775e-14      -2.552057627279e-12       3.780669043635e-16       1.178358101296e-11       1.650571925331e-12      -7.648207706665e-15 
   95       3.382338969317e-10       9.304724356552e-14      -2.638338295696e-12       3.862093847259e-16       1.146613184439e-11       1.614608246096e-12      -7.586428030361e-15 
   96       3.422561259745e-10       9.508596388322e-14      -2.725057294416e-12       3.944429448823e-16       1.115964542550e-11       1.579794252755e-12      -7.514008352929e-15 
   97       3.463076521067e-10       9.711356528864e-14      -2.812150516407e-12       4.027682769337e-16       1.086398421536e-11       1.546119970407e-12      -7.432733160138e-15 
   98       3.503881934506e-10       9.912814909272e-14      -2.899552553158e-12       4.111861159844e-16       1.057890549402e-11       1.513563872198e-12      -7.344557504728e-15 
   99       3.544972891206e-10       1.011277893934e-13      -2.987196710127e-12       4.196972411647e-16       1.030405761925e-11       1.482092460592e-12      -7.251611452946e-15 
  100       3.586342920176e-10       1.031105334991e-13      -3.075015022185e-12       4.283024766533e-16       1.003897628343e-11       1.451659848652e-12      -7.156204531075e-15 
  101       3.627983616242e-10       1.050744023531e-13      -3.162938269065e-12       4.370026927005e-16       9.783080770272e-12       1.422207341310e-12      -7.060830171967e-15 
  102       3.669884567988e-10       1.070173909564e-13      -3.250895990812e-12       4.457988066510e-16       9.535670211631e-12       1.393663016648e-12      -6.968170161577e-15 
  103       3.712033285703e-10       1.089374687922e-13      -3.338816503223e-12       4.546917839661e-16       9.295919844328e-12       1.365941307168e-12      -6.881099085494e-15 
  104       3.754417841783e-10       1.108326320236e-13      -3.426627830894e-12       4.636825542077e-16       9.063068051801e-12       1.338962642067e-12      -6.802056204680e-15 
  105       3.797035353321e-10       1.127010672048e-13      -3.514260616621e-12       4.727717438597e-16       8.837014327077e-12       1.312716297812e-12      -6.731054871048e-15 
  106       3.839884516399e-10       1.145410105779e-13      -3.601645635642e-12       4.819599091527e-16       8.617795483522e-12       1.287205296659e-12      -6.667411250749e-15 
  107       3.882962954219e-10       1.163506992541e-13      -3.688712938361e-12       4.912476179687e-16       8.405400456347e-12       1.262426907944e-12      -6.610350408089e-15 
  108       3.926267174857e-10       1.181283722067e-13      -3.775391875880e-12       5.006354499281e-16       8.199768655945e-12       1.238372449801e-12      -6.559003800730e-15 
  109       3.969792529022e-10       1.198722712636e-13      -3.861611125526e-12       5.101239964791e-16       8.000788321223e-12       1.215027090896e-12      -6.512406774900e-15 
  110       4.013533167804e-10       1.215806421000e-13      -3.947298716382e-12       5.197138609853e-16       7.808294872935e-12       1.192369652144e-12      -6.469496060594e-15 
