# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 10000, i.e. number of multipoles equal to 9999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.638740901833e-10       7.640192478823e-15       2.341030326193e-13       6.835824769581e-17       8.377797688519e-11       8.969644961931e-12      -9.093372850863e-15 
   41       1.663246104869e-10       8.297448364596e-15       2.247841544017e-13       7.182046955230e-17       7.963375968754e-11       8.571203068100e-12      -8.191051302632e-15 
   42       1.687863450358e-10       8.990145281121e-15       2.138607241400e-13       7.537033220440e-17       7.575801893073e-11       8.193462299731e-12      -7.210313344911e-15 
   43       1.712682124067e-10       9.718665378565e-15       2.014087290384e-13       7.900790619954e-17       7.214047030990e-11       7.837579941627e-12      -6.325538259420e-15 
   44       1.737771045679e-10       1.048329802055e-14       1.875287112688e-13       8.273324739967e-17       6.875479723495e-11       7.503635955541e-12      -5.743572829406e-15 
   45       1.763175490767e-10       1.128432042461e-14       1.723103577883e-13       8.654638464798e-17       6.556805145000e-11       7.190880001687e-12      -5.643433355015e-15 
   46       1.788911773321e-10       1.212228002547e-14       1.557105363576e-13       9.044728030838e-17       6.257521394833e-11       6.898786681312e-12      -5.969665153883e-15 
   47       1.814966627331e-10       1.299778808669e-14       1.376410416884e-13       9.443585653103e-17       5.977279531908e-11       6.626152550459e-12      -6.580273528004e-15 
   48       1.841295356936e-10       1.391144139557e-14       1.180013845436e-13       9.851200429358e-17       5.714841154000e-11       6.370706311008e-12      -7.301735037049e-15 
   49       1.867819234007e-10       1.486382223106e-14       9.667799597535e-14       1.026755819164e-16       5.468012254276e-11       6.129032610058e-12      -7.927224514512e-15 
   50       1.894457615684e-10       1.585541364409e-14       7.356760096853e-14       1.069264196582e-16       5.234303964261e-11       5.897553420416e-12      -8.271186255000e-15 
   51       1.921240612158e-10       1.688631826245e-14       4.865666510942e-14       1.112643384175e-16       5.013279673332e-11       5.675963009240e-12      -8.354623678544e-15 
   52       1.948222502862e-10       1.795646310326e-14       2.196213729322e-14       1.156891335409e-16       4.804730675235e-11       5.464593635365e-12      -8.267039739868e-15 
   53       1.975448743905e-10       1.906567366748e-14      -6.490501377996e-15       1.202005680166e-16       4.607973785193e-11       5.263413654165e-12      -8.115346222977e-15 
