# # model A with unkown parameters (blind test) plus noise, in format of MP fiducial files
2 1.06993170e+03 3.62635868e-02 2.89315424e+00 1.55502526e-06 2.98435061e-03
3 5.06235833e+02 2.48315697e-02 1.66759885e+00 7.28102382e-07 3.00141223e-03
4 2.87258543e+02 1.38299148e-02 9.56273421e-01 4.50793578e-07 2.93632182e-03
5 1.83176540e+02 6.62979559e-03 5.53944656e-01 3.28508624e-07 2.84189429e-03
6 1.26702417e+02 2.82112144e-03 3.24280315e-01 2.61572089e-07 2.73662777e-03
7 9.29982242e+01 1.15576117e-03 1.93125094e-01 2.23679481e-07 2.62987888e-03
8 7.13882326e+01 5.44571725e-04 1.18600711e-01 1.99400938e-07 2.52655748e-03
9 5.67371784e+01 3.35975164e-04 7.67775188e-02 1.84312115e-07 2.42859258e-03
10 4.63426985e+01 2.41843750e-04 5.37074707e-02 1.73938462e-07 2.33698359e-03
11 3.87067579e+01 1.75546279e-04 4.11538513e-02 1.63493136e-07 2.26037472e-03
12 3.29276631e+01 1.28135499e-04 3.42877991e-02 1.58295426e-07 2.17661326e-03
13 2.84382235e+01 1.00081681e-04 3.03301647e-02 1.54688150e-07 2.10280168e-03
14 2.48702121e+01 8.68885323e-05 2.77682958e-02 1.52204177e-07 2.02576266e-03
15 2.19931514e+01 8.07396319e-05 2.58563666e-02 1.50516134e-07 1.95615831e-03
16 1.96378775e+01 7.73214199e-05 2.42372668e-02 1.49387564e-07 1.89222085e-03
17 1.76759631e+01 7.50586348e-05 2.27698050e-02 1.48640792e-07 1.83186332e-03
18 1.60246566e+01 7.52564451e-05 2.14436192e-02 1.48101695e-07 1.77176847e-03
19 1.46232104e+01 7.74303132e-05 2.02700192e-02 1.47822591e-07 1.71441429e-03
20 1.34187472e+01 8.20598575e-05 1.92553172e-02 1.47575066e-07 1.66091883e-03
21 1.23769820e+01 8.76482158e-05 1.83886577e-02 1.47383336e-07 1.61178245e-03
22 1.14695895e+01 9.37638680e-05 1.76493695e-02 1.47189578e-07 1.56465449e-03
23 1.06734911e+01 9.99921413e-05 1.69946882e-02 1.47039972e-07 1.51923449e-03
24 9.96880263e+00 1.06787470e-04 1.63812012e-02 1.46866259e-07 1.47465241e-03
25 9.34316986e+00 1.13421571e-04 1.57849972e-02 1.46707537e-07 1.43257696e-03
26 8.78605238e+00 1.20187436e-04 1.51881995e-02 1.46527142e-07 1.39432266e-03
27 8.28663466e+00 1.26920996e-04 1.45775679e-02 1.46341432e-07 1.35876018e-03
28 7.83508512e+00 1.33617721e-04 1.39447359e-02 1.46104055e-07 1.32317807e-03
29 7.42578309e+00 1.40325422e-04 1.32961946e-02 1.45878472e-07 1.28806951e-03
30 7.05416057e+00 1.47246770e-04 1.26421498e-02 1.45675969e-07 1.25451569e-03
31 6.71579206e+00 1.54311832e-04 1.19919957e-02 1.45412386e-07 1.22296610e-03
32 6.40682194e+00 1.61506167e-04 1.13518807e-02 1.45125117e-07 1.19350987e-03
33 6.12353704e+00 1.68799632e-04 1.07271419e-02 1.44835783e-07 1.16542490e-03
34 5.86254085e+00 1.76163665e-04 1.01212899e-02 1.44503542e-07 1.13747113e-03
35 5.62170343e+00 1.83578031e-04 9.53052992e-03 1.44156144e-07 1.10998060e-03
36 5.39921149e+00 1.91024177e-04 8.94924067e-03 1.43795652e-07 1.08359352e-03
37 5.19328912e+00 1.98485981e-04 8.37260018e-03 1.43379954e-07 1.05869750e-03
38 5.00230993e+00 2.05955929e-04 7.79898318e-03 1.42944746e-07 1.03548016e-03
39 4.82468488e+00 2.13429140e-04 7.22756360e-03 1.42521737e-07 1.01378427e-03
40 4.65882496e+00 2.20900428e-04 6.65751536e-03 1.42096322e-07 9.92998482e-04
