   39    0.19323E-05    0.38646E-05    0.11166E-05    0.48719E+01    0.72860E-02    0.21405E-03    0.44974E-08    0.24569E-12    0.70000E+00
   40    0.19382E-05    0.38764E-05    0.11172E-05    0.47042E+01    0.67082E-02    0.22161E-03    0.42801E-08    0.22881E-12    0.70000E+00
   41    0.19443E-05    0.38886E-05    0.11176E-05    0.45473E+01    0.61380E-02    0.22916E-03    0.40779E-08    0.21327E-12    0.70000E+00
   42    0.19505E-05    0.39010E-05    0.11179E-05    0.44003E+01    0.55762E-02    0.23669E-03    0.38894E-08    0.19894E-12    0.70000E+00
   43    0.19569E-05    0.39139E-05    0.11182E-05    0.42626E+01    0.50227E-02    0.24419E-03    0.37135E-08    0.18579E-12    0.70000E+00
   44    0.19635E-05    0.39270E-05    0.11185E-05    0.41332E+01    0.44781E-02    0.25165E-03    0.35492E-08    0.17374E-12    0.70000E+00
   45    0.19702E-05    0.39405E-05    0.11187E-05    0.40115E+01    0.39422E-02    0.25907E-03    0.33957E-08    0.16270E-12    0.70000E+00
   46    0.19772E-05    0.39544E-05    0.11190E-05    0.38969E+01    0.34149E-02    0.26644E-03    0.32520E-08    0.15262E-12    0.70000E+00
   47    0.19843E-05    0.39686E-05    0.11193E-05    0.37888E+01    0.28954E-02    0.27376E-03    0.31174E-08    0.14339E-12    0.70000E+00
   48    0.19916E-05    0.39832E-05    0.11197E-05    0.36868E+01    0.23832E-02    0.28102E-03    0.29912E-08    0.13491E-12    0.70000E+00
   49    0.19990E-05    0.39981E-05    0.11202E-05    0.35903E+01    0.18779E-02    0.28823E-03    0.28728E-08    0.12708E-12    0.70000E+00
   50    0.20067E-05    0.40134E-05    0.11208E-05    0.34987E+01    0.13789E-02    0.29538E-03    0.27616E-08    0.11977E-12    0.70000E+00
   51    0.20145E-05    0.40290E-05    0.11215E-05    0.34118E+01    0.88611E-03    0.30247E-03    0.26570E-08    0.11295E-12    0.70000E+00
   52    0.20225E-05    0.40450E-05    0.11223E-05    0.33294E+01    0.39948E-03    0.30948E-03    0.25586E-08    0.10659E-12    0.70000E+00
   53    0.20307E-05    0.40614E-05    0.11232E-05    0.32511E+01   -0.81030E-04    0.31640E-03    0.24659E-08    0.10068E-12    0.70000E+00
   54    0.20391E-05    0.40782E-05    0.11243E-05    0.31766E+01   -0.55547E-03    0.32324E-03    0.23785E-08    0.95170E-13    0.70000E+00
   55    0.20476E-05    0.40953E-05    0.11255E-05    0.31058E+01   -0.10238E-02    0.32998E-03    0.22960E-08    0.90032E-13    0.70000E+00
   56    0.20564E-05    0.41129E-05    0.11268E-05    0.30385E+01   -0.14860E-02    0.33662E-03    0.22180E-08    0.85246E-13    0.70000E+00
   57    0.20654E-05    0.41308E-05    0.11282E-05    0.29743E+01   -0.19416E-02    0.34316E-03    0.21441E-08    0.80793E-13    0.70000E+00
   58    0.20745E-05    0.41491E-05    0.11297E-05    0.29131E+01   -0.23905E-02    0.34960E-03    0.20742E-08    0.76651E-13    0.70000E+00
   59    0.20839E-05    0.41678E-05    0.11313E-05    0.28548E+01   -0.28325E-02    0.35593E-03    0.20079E-08    0.72795E-13    0.70000E+00
   60    0.20935E-05    0.41869E-05    0.11329E-05    0.27990E+01   -0.32674E-02    0.36216E-03    0.19449E-08    0.69197E-13    0.70000E+00
   61    0.21032E-05    0.42065E-05    0.11346E-05    0.27455E+01   -0.36949E-02    0.36828E-03    0.18850E-08    0.65829E-13    0.70000E+00
   62    0.21132E-05    0.42264E-05    0.11364E-05    0.26944E+01   -0.41149E-02    0.37429E-03    0.18281E-08    0.62677E-13    0.70000E+00
   63    0.21234E-05    0.42468E-05    0.11383E-05    0.26454E+01   -0.45275E-02    0.38017E-03    0.17738E-08    0.59729E-13    0.70000E+00
   64    0.21338E-05    0.42676E-05    0.11402E-05    0.25984E+01   -0.49325E-02    0.38593E-03    0.17221E-08    0.56971E-13    0.70000E+00
   65    0.21444E-05    0.42888E-05    0.11422E-05    0.25534E+01   -0.53298E-02    0.39155E-03    0.16729E-08    0.54389E-13    0.70000E+00
   66    0.21552E-05    0.43104E-05    0.11443E-05    0.25102E+01   -0.57195E-02    0.39703E-03    0.16259E-08    0.51964E-13    0.70000E+00
   67    0.21662E-05    0.43325E-05    0.11464E-05    0.24687E+01   -0.61014E-02    0.40236E-03    0.15810E-08    0.49679E-13    0.70000E+00
   68    0.21775E-05    0.43551E-05    0.11487E-05    0.24288E+01   -0.64755E-02    0.40753E-03    0.15382E-08    0.47516E-13    0.70000E+00
   69    0.21890E-05    0.43781E-05    0.11510E-05    0.23905E+01   -0.68418E-02    0.41255E-03    0.14972E-08    0.45469E-13    0.70000E+00
   70    0.22007E-05    0.44015E-05    0.11533E-05    0.23536E+01   -0.72004E-02    0.41740E-03    0.14581E-08    0.43532E-13    0.70000E+00
   71    0.22127E-05    0.44254E-05    0.11558E-05    0.23182E+01   -0.75512E-02    0.42211E-03    0.14206E-08    0.41702E-13    0.70000E+00
   72    0.22249E-05    0.44498E-05    0.11583E-05    0.22841E+01   -0.78943E-02    0.42665E-03    0.13847E-08    0.39972E-13    0.70000E+00
   73    0.22373E-05    0.44746E-05    0.11609E-05    0.22512E+01   -0.82296E-02    0.43104E-03    0.13502E-08    0.38337E-13    0.70000E+00
   74    0.22500E-05    0.45000E-05    0.11635E-05    0.22196E+01   -0.85573E-02    0.43527E-03    0.13172E-08    0.36789E-13    0.70000E+00
   75    0.22629E-05    0.45258E-05    0.11663E-05    0.21890E+01   -0.88773E-02    0.43934E-03    0.12856E-08    0.35320E-13    0.70000E+00
   76    0.22760E-05    0.45521E-05    0.11691E-05    0.21596E+01   -0.91896E-02    0.44325E-03    0.12552E-08    0.33925E-13    0.70000E+00
   77    0.22895E-05    0.45789E-05    0.11719E-05    0.21311E+01   -0.94943E-02    0.44701E-03    0.12260E-08    0.32598E-13    0.70000E+00
   78    0.23031E-05    0.46063E-05    0.11748E-05    0.21036E+01   -0.97913E-02    0.45061E-03    0.11979E-08    0.31338E-13    0.70000E+00
   79    0.23170E-05    0.46341E-05    0.11778E-05    0.20771E+01   -0.10081E-01    0.45404E-03    0.11709E-08    0.30141E-13    0.70000E+00
   80    0.23312E-05    0.46625E-05    0.11808E-05    0.20514E+01   -0.10362E-01    0.45730E-03    0.11450E-08    0.29005E-13    0.70000E+00
   81    0.23457E-05    0.46914E-05    0.11839E-05    0.20266E+01   -0.10636E-01    0.46040E-03    0.11199E-08    0.27926E-13    0.70000E+00
   82    0.23604E-05    0.47208E-05    0.11870E-05    0.20027E+01   -0.10902E-01    0.46332E-03    0.10958E-08    0.26900E-13    0.70000E+00
   83    0.23754E-05    0.47508E-05    0.11902E-05    0.19795E+01   -0.11160E-01    0.46607E-03    0.10726E-08    0.25922E-13    0.70000E+00
   84    0.23907E-05    0.47814E-05    0.11934E-05    0.19570E+01   -0.11411E-01    0.46864E-03    0.10502E-08    0.24989E-13    0.70000E+00
   85    0.24062E-05    0.48125E-05    0.11967E-05    0.19352E+01   -0.11654E-01    0.47103E-03    0.10286E-08    0.24099E-13    0.70000E+00
   86    0.24221E-05    0.48442E-05    0.12000E-05    0.19142E+01   -0.11889E-01    0.47325E-03    0.10077E-08    0.23249E-13    0.70000E+00
   87    0.24382E-05    0.48764E-05    0.12033E-05    0.18937E+01   -0.12116E-01    0.47529E-03    0.98754E-09    0.22440E-13    0.70000E+00
   88    0.24546E-05    0.49093E-05    0.12067E-05    0.18739E+01   -0.12336E-01    0.47715E-03    0.96806E-09    0.21668E-13    0.70000E+00
   89    0.24713E-05    0.49427E-05    0.12101E-05    0.18547E+01   -0.12548E-01    0.47884E-03    0.94922E-09    0.20931E-13    0.70000E+00
   90    0.24884E-05    0.49768E-05    0.12135E-05    0.18361E+01   -0.12752E-01    0.48035E-03    0.93100E-09    0.20228E-13    0.70000E+00
   91    0.25057E-05    0.50115E-05    0.12170E-05    0.18180E+01   -0.12949E-01    0.48168E-03    0.91336E-09    0.19556E-13    0.70000E+00
   92    0.25234E-05    0.50468E-05    0.12205E-05    0.18004E+01   -0.13138E-01    0.48284E-03    0.89628E-09    0.18912E-13    0.70000E+00
   93    0.25413E-05    0.50827E-05    0.12240E-05    0.17833E+01   -0.13319E-01    0.48382E-03    0.87973E-09    0.18294E-13    0.70000E+00
   94    0.25596E-05    0.51193E-05    0.12275E-05    0.17667E+01   -0.13493E-01    0.48463E-03    0.86370E-09    0.17702E-13    0.70000E+00
   95    0.25782E-05    0.51565E-05    0.12311E-05    0.17505E+01   -0.13659E-01    0.48526E-03    0.84815E-09    0.17133E-13    0.70000E+00
   96    0.25972E-05    0.51944E-05    0.12346E-05    0.17348E+01   -0.13818E-01    0.48571E-03    0.83306E-09    0.16589E-13    0.70000E+00
   97    0.26165E-05    0.52330E-05    0.12382E-05    0.17195E+01   -0.13969E-01    0.48600E-03    0.81842E-09    0.16067E-13    0.70000E+00
   98    0.26361E-05    0.52723E-05    0.12418E-05    0.17046E+01   -0.14113E-01    0.48611E-03    0.80421E-09    0.15568E-13    0.70000E+00
   99    0.26561E-05    0.53123E-05    0.12454E-05    0.16900E+01   -0.14250E-01    0.48606E-03    0.79040E-09    0.15089E-13    0.70000E+00
  100    0.26765E-05    0.53530E-05    0.12490E-05    0.16759E+01   -0.14379E-01    0.48583E-03    0.77697E-09    0.14630E-13    0.70000E+00
  101    0.26972E-05    0.53944E-05    0.12525E-05    0.16621E+01   -0.14501E-01    0.48543E-03    0.76392E-09    0.14190E-13    0.70000E+00
  102    0.27182E-05    0.54365E-05    0.12561E-05    0.16486E+01   -0.14615E-01    0.48487E-03    0.75123E-09    0.13767E-13    0.70000E+00
  103    0.27397E-05    0.54794E-05    0.12597E-05    0.16354E+01   -0.14723E-01    0.48414E-03    0.73887E-09    0.13361E-13    0.70000E+00
  104    0.27615E-05    0.55230E-05    0.12632E-05    0.16226E+01   -0.14823E-01    0.48325E-03    0.72685E-09    0.12969E-13    0.70000E+00
  105    0.27837E-05    0.55675E-05    0.12668E-05    0.16100E+01   -0.14916E-01    0.48219E-03    0.71513E-09    0.12592E-13    0.70000E+00
