1.722  4.26316	2.241356e+00	1.204305e-01	9.609535e-01	2.109880e+00	1.040905e+00	6.609448e-02	7.856273e+00	6.572262e+01	5.590111e-02	6.643155e-01	
3.003  2.7684	2.227398e+00	1.212157e-01	9.611363e-01	2.108138e+00	1.041082e+00	6.484776e-02	7.905588e+00	6.542347e+01	5.594775e-02	6.598241e-01	
2.072  2.63156	2.241426e+00	1.203663e-01	9.669751e-01	2.117850e+00	1.042264e+00	1.016803e-01	8.035436e+00	6.523360e+01	5.750637e-02	6.567196e-01	
0.7043  5.79649	2.258882e+00	1.182602e-01	9.737213e-01	2.105132e+00	1.042824e+00	9.735128e-02	7.913221e+00	6.640637e+01	5.704351e-02	6.734338e-01	
0.6266  4.64212	2.261037e+00	1.186834e-01	9.684353e-01	2.102824e+00	1.042221e+00	1.798371e-01	7.938790e+00	6.392679e+01	5.693048e-02	6.400195e-01	
6.346  2.54832	2.257662e+00	1.183734e-01	9.665842e-01	2.097025e+00	1.041528e+00	5.968882e-02	7.782902e+00	6.696257e+01	5.588332e-02	6.813162e-01	
3.879  2.89516	2.234620e+00	1.188988e-01	9.688751e-01	2.094625e+00	1.040909e+00	8.454094e-02	7.737293e+00	6.568548e+01	5.474795e-02	6.662648e-01	
0.6538  1.69957	2.212583e+00	1.203747e-01	9.640010e-01	2.097282e+00	1.041156e+00	1.469642e-01	7.801514e+00	6.343071e+01	5.439390e-02	6.339991e-01	
2.701  1.57129	2.210510e+00	1.206886e-01	9.601542e-01	2.096422e+00	1.041338e+00	1.270307e-01	7.794091e+00	6.388165e+01	5.430656e-02	6.400030e-01	
2.89  2.92137	2.195871e+00	1.216332e-01	9.578901e-01	2.096352e+00	1.041091e+00	1.234976e-01	7.690931e+00	6.345396e+01	5.287550e-02	6.334338e-01	
1.408  4.17632	2.199199e+00	1.217927e-01	9.599867e-01	2.097594e+00	1.040415e+00	3.509520e-02	7.698388e+00	6.556193e+01	5.335570e-02	6.628022e-01	
1.373  5.17084	2.199581e+00	1.217512e-01	9.628927e-01	2.097237e+00	1.040300e+00	5.559694e-03	7.680231e+00	6.629840e+01	5.331395e-02	6.725000e-01	
3.489  4.59324	2.198422e+00	1.225298e-01	9.618638e-01	2.107197e+00	1.040571e+00	6.142738e-02	7.717429e+00	6.464753e+01	5.330272e-02	6.494216e-01	
0.3449  4.25771	2.204725e+00	1.233578e-01	9.598865e-01	2.108253e+00	1.041395e+00	1.848155e-01	7.695197e+00	6.155441e+01	5.260746e-02	6.004629e-01	
0.8925  3.22737	2.198167e+00	1.220694e-01	9.564001e-01	2.095722e+00	1.041472e+00	9.583860e-02	7.742901e+00	6.417728e+01	5.345691e-02	6.426983e-01	
0.4872  2.87636	2.200133e+00	1.224027e-01	9.547934e-01	2.098439e+00	1.041735e+00	1.827462e-01	7.759023e+00	6.197004e+01	5.325226e-02	6.085844e-01	
