2  1.94026	2.234745e+00	1.191285e-01	9.719808e-01	2.081451e+00	1.041797e+00	5.064057e-02	6.767428e+01	7.293137e+00	6.896263e-01	
2  1.0513	2.248383e+00	1.189903e-01	9.640436e-01	2.086302e+00	1.042102e+00	5.247860e-02	6.794802e+01	7.452469e+00	6.921261e-01	
1  1.4959	2.257294e+00	1.180781e-01	9.735579e-01	2.096648e+00	1.041887e+00	5.387138e-02	6.828277e+01	7.560562e+00	6.969026e-01	
4  0.965365	2.256552e+00	1.181950e-01	9.706756e-01	2.090854e+00	1.040988e+00	5.395356e-02	6.793229e+01	7.570389e+00	6.935297e-01	
2  2.53542	2.264427e+00	1.171841e-01	9.780490e-01	2.091930e+00	1.040854e+00	5.619122e-02	6.832266e+01	7.761307e+00	6.990189e-01	
4  1.85036	2.277984e+00	1.180069e-01	9.806792e-01	2.094675e+00	1.041836e+00	5.489047e-02	6.847707e+01	7.617416e+00	6.983308e-01	
4  2.34551	2.269424e+00	1.189225e-01	9.756521e-01	2.116041e+00	1.042564e+00	5.873564e-02	6.831656e+01	8.033646e+00	6.951332e-01	
2  2.26337	2.258234e+00	1.202104e-01	9.712882e-01	2.117942e+00	1.042950e+00	5.816435e-02	6.788821e+01	8.025223e+00	6.887222e-01	
1  2.33982	2.257065e+00	1.198027e-01	9.687082e-01	2.116381e+00	1.043515e+00	5.824123e-02	6.821180e+01	8.030136e+00	6.925701e-01	
2  2.37432	2.261118e+00	1.197250e-01	9.675674e-01	2.097196e+00	1.043889e+00	5.481423e-02	6.840178e+01	7.677078e+00	6.943548e-01	
4  1.64325	2.252188e+00	1.198271e-01	9.620470e-01	2.098816e+00	1.043497e+00	5.454097e-02	6.815289e+01	7.670059e+00	6.920907e-01	
1  2.46188	2.241985e+00	1.203020e-01	9.634563e-01	2.084727e+00	1.043458e+00	5.017941e-02	6.787989e+01	7.250320e+00	6.887999e-01	
1  2.10574	2.247956e+00	1.195125e-01	9.693215e-01	2.089574e+00	1.043771e+00	5.153252e-02	6.831872e+01	7.367538e+00	6.943484e-01	
2  1.97079	2.234725e+00	1.201055e-01	9.656839e-01	2.085562e+00	1.043520e+00	5.139226e-02	6.790493e+01	7.389297e+00	6.896129e-01	
1  1.39822	2.243248e+00	1.200613e-01	9.657055e-01	2.103793e+00	1.043780e+00	5.443741e-02	6.808444e+01	7.684097e+00	6.911588e-01	
