3  105.872	2.112184e+00	7.087471e+00	8.226371e-01	1.543071e+01	3.060597e-01	1.008252e+00	1.124905e-01	6.849021e-01	
6  48.0209	2.094120e+00	6.847883e+00	7.343545e-01	1.219493e+01	2.943479e-01	1.008252e+00	9.069410e-02	6.849021e-01	
3  -2.88416	2.103493e+00	7.258484e+00	6.693944e-01	1.035431e+01	6.912331e-02	1.008252e+00	6.107560e-02	6.849021e-01	
13  -3.74477	2.053425e+00	6.400519e+00	6.097959e-01	1.023392e+01	1.640550e-01	1.008252e+00	6.349870e-02	6.849021e-01	
11  -4.18908	2.064106e+00	6.239015e+00	6.448227e-01	8.393660e+00	2.028333e-01	1.008252e+00	6.059384e-02	6.849021e-01	
13  -2.76069	2.095271e+00	6.718707e+00	6.631325e-01	8.058419e+00	2.269794e-01	1.008252e+00	6.357697e-02	6.849021e-01	
21  -5.13627	2.013574e+00	6.934528e+00	5.765595e-01	7.070446e+00	2.443559e-01	1.008252e+00	6.092656e-02	6.849021e-01	
18  -4.80305	1.966815e+00	6.491674e+00	6.308580e-01	8.031744e+00	2.574221e-01	1.008252e+00	6.496125e-02	6.849021e-01	
5  -3.70542	1.991987e+00	6.502786e+00	6.473539e-01	9.493289e+00	1.153325e-01	1.008252e+00	5.771189e-02	6.849021e-01	
3  -4.94962	1.961502e+00	7.068072e+00	5.757211e-01	9.453666e+00	1.075548e-01	1.008252e+00	5.927257e-02	6.849021e-01	
2  -5.42396	1.974978e+00	8.173336e+00	5.778171e-01	1.034573e+01	1.918993e-03	1.008252e+00	5.967026e-02	6.849021e-01	
5  -4.37083	1.984707e+00	8.791265e+00	6.160886e-01	9.059863e+00	5.121290e-02	1.008252e+00	6.513323e-02	6.849021e-01	
2  -5.78832	1.964333e+00	7.795702e+00	7.550077e-01	8.388406e+00	8.110672e-02	1.008252e+00	6.027925e-02	6.849021e-01	
26  -6.02496	1.961305e+00	7.722713e+00	9.223225e-01	8.374340e+00	7.570374e-02	1.008252e+00	6.092163e-02	6.849021e-01	
10  -3.03116	1.941772e+00	7.909771e+00	7.899785e-01	8.036587e+00	2.336172e-01	1.008252e+00	6.939415e-02	6.849021e-01	
12  -5.89957	1.954407e+00	6.282916e+00	7.562770e-01	7.434390e+00	2.715903e-01	1.008252e+00	6.309859e-02	6.849021e-01	
1  -4.61715	1.888429e+00	6.967064e+00	8.081058e-01	9.281504e+00	1.820161e-01	1.008252e+00	6.770118e-02	6.849021e-01	
3  -4.63696	1.845825e+00	6.431029e+00	7.219870e-01	8.597488e+00	2.469760e-01	1.008252e+00	6.683485e-02	6.849021e-01	
4  -5.52579	1.825358e+00	6.161778e+00	6.669872e-01	9.586513e+00	1.546588e-01	1.008252e+00	5.962591e-02	6.849021e-01	
2  -5.60715	1.826770e+00	7.752585e+00	6.030318e-01	9.176278e+00	8.333038e-02	1.008252e+00	6.081717e-02	6.849021e-01	
5  -5.70516	1.845551e+00	7.296475e+00	6.937079e-01	1.043562e+01	1.052594e-01	1.008252e+00	6.518527e-02	6.849021e-01	
2  -6.36998	1.903093e+00	7.611876e+00	7.730983e-01	9.980316e+00	1.722098e-02	1.008252e+00	6.003462e-02	6.849021e-01	
1  -6.21671	1.874582e+00	7.252157e+00	6.370163e-01	9.524816e+00	1.278846e-01	1.008252e+00	6.305061e-02	6.849021e-01	
5  -5.75678	1.839702e+00	7.150882e+00	8.058953e-01	8.769829e+00	1.678813e-01	1.008252e+00	6.521360e-02	6.849021e-01	
2  -5.43035	1.879186e+00	6.833533e+00	7.827971e-01	8.518560e+00	1.385300e-01	1.008252e+00	6.011498e-02	6.849021e-01	
1  -1.88418	1.825472e+00	8.070862e+00	6.436405e-01	9.422760e+00	1.819068e-01	1.008252e+00	7.113603e-02	6.849021e-01	
2  -2.49943	1.816233e+00	7.547316e+00	6.120304e-01	9.742162e+00	1.901103e-01	1.008252e+00	7.016267e-02	6.849021e-01	
3  -5.63061	1.802136e+00	7.432117e+00	7.243640e-01	1.004977e+01	6.633925e-02	1.008252e+00	6.210179e-02	6.849021e-01	
3  -6.39629	1.823306e+00	8.043007e+00	8.916069e-01	9.490130e+00	3.509195e-02	1.008252e+00	6.421242e-02	6.849021e-01	
4  -6.25802	1.852304e+00	8.191205e+00	9.662153e-01	8.549078e+00	8.787083e-02	1.008252e+00	6.514872e-02	6.849021e-01	
7  -6.44209	1.866938e+00	7.619776e+00	9.335291e-01	8.045993e+00	1.408619e-01	1.008252e+00	6.322736e-02	6.849021e-01	
5  -6.36477	1.911822e+00	7.204192e+00	8.613527e-01	1.015267e+01	5.879367e-02	1.008252e+00	6.314179e-02	6.849021e-01	
1  -5.80545	1.908137e+00	6.309843e+00	1.003567e+00	9.692383e+00	8.150760e-02	1.008252e+00	6.032316e-02	6.849021e-01	
58  -6.68477	1.874069e+00	6.134590e+00	1.155357e+00	9.782413e+00	5.070047e-02	1.008252e+00	6.209679e-02	6.849021e-01	
