# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 10000, i.e. number of multipoles equal to 9999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.629185680174e-10       7.625595878860e-15       2.332975047917e-13       6.832758486172e-17       8.377947345745e-11       8.947138283887e-12      -6.719496929636e-15 
   41       1.653780207718e-10       8.282430246935e-15       2.243497239850e-13       7.178839381918e-17       7.963525484772e-11       8.550527010357e-12      -6.762378366360e-15 
   42       1.678488285381e-10       8.974569649729e-15       2.139259903001e-13       7.533681639875e-17       7.575950988457e-11       8.174890272312e-12      -6.823439211648e-15 
   43       1.703401571511e-10       9.702781615328e-15       2.019823707168e-13       7.897292162083e-17       7.214195616309e-11       7.820968954377e-12      -6.894368169586e-15 
   44       1.728592393270e-10       1.046781533926e-14       1.884751267656e-13       8.269676348850e-17       6.875627933983e-11       7.488346983542e-12      -6.964728629019e-15 
   45       1.754109169079e-10       1.127034027180e-14       1.733650950224e-13       8.650836884968e-17       6.556953313054e-11       7.175852130832e-12      -7.024845052072e-15 
   46       1.779966903347e-10       1.211074171715e-14       1.566325828556e-13       9.040769863592e-17       6.257669809495e-11       6.883137940995e-12      -7.075807168269e-15 
   47       1.806149620502e-10       1.298926287673e-14       1.382667868979e-13       9.439467360680e-17       5.977428350802e-11       6.609403921734e-12      -7.122228525644e-15 
   48       1.832609670178e-10       1.390605610268e-14       1.182618881419e-13       9.846918318973e-17       5.714990371959e-11       6.352865686241e-12      -7.169524468868e-15 
   49       1.859265120341e-10       1.486117866862e-14       9.661722719656e-14       1.026310839894e-16       5.468161670110e-11       6.110683400547e-12      -7.223951989436e-15 
   50       1.886032412759e-10       1.585465129258e-14       7.333065602819e-14       1.068802046504e-16       5.234453201790e-11       5.879785736552e-12      -7.291142016910e-15 
   51       1.912940827100e-10       1.688666224483e-14       4.837605914819e-14       1.112163654598e-16       5.013428386841e-11       5.659771398227e-12      -7.371134173383e-15 
   52       1.940044580681e-10       1.795741133235e-14       2.172003374650e-14       1.156393614888e-16       4.804878617369e-11       5.450671498754e-12      -7.462063142741e-15 
   53       1.967389356664e-10       1.906705074315e-14      -6.671962470292e-15       1.201489555413e-16       4.608120823894e-11       5.252094177015e-12      -7.561518078329e-15 
   54       1.995011356591e-10       2.021568377005e-14      -3.683575712958e-14       1.247448769619e-16       4.421965539088e-11       5.063195186386e-12      -7.666511509195e-15 
   55       2.022936673411e-10       2.140334628865e-14      -6.880187033541e-14       1.294268527411e-16       4.245079827754e-11       4.882983759219e-12      -7.773752749794e-15 
   56       2.051181398748e-10       2.262994872624e-14      -1.025734840436e-13       1.341947126086e-16       4.077254819422e-11       4.711396557468e-12      -7.880618899452e-15 
   57       2.079749882709e-10       2.389531744143e-14      -1.381432552751e-13       1.390483079597e-16       3.918397119200e-11       4.548438998413e-12      -7.984370596852e-15 
   58       2.108633501092e-10       2.519920880136e-14      -1.754994611676e-13       1.439874819121e-16       3.768145338000e-11       4.393857360996e-12      -8.081849839095e-15 
   59       2.137809720396e-10       2.654130723360e-14      -2.146258822785e-13       1.490120693719e-16       3.625853540682e-11       4.247122437305e-12      -8.169460751713e-15 
   60       2.167241162844e-10       2.792122327812e-14      -2.555016858888e-13       1.541218971009e-16       3.490574694192e-11       4.107413184047e-12      -8.243150358679e-15 
   61       2.196890613012e-10       2.933850342021e-14      -2.981065569241e-13       1.593168212897e-16       3.361323664947e-11       3.973854957573e-12      -8.299438079803e-15 
   62       2.226772089122e-10       3.079266657572e-14      -3.424377005349e-13       1.645968499823e-16       3.237972639089e-11       3.846333691969e-12      -8.338817758941e-15 
   63       2.256909628275e-10       3.228317237569e-14      -3.884964662168e-13       1.699620483747e-16       3.120528232034e-11       3.724836292931e-12      -8.363088608808e-15 
   64       2.287321935725e-10       3.380940856489e-14      -4.362834857796e-13       1.754125049646e-16       3.008862144860e-11       3.609204073569e-12      -8.374387634165e-15 
   65       2.318021955717e-10       3.537068942759e-14      -4.857987231548e-13       1.809483328079e-16       2.902703482334e-11       3.499124483628e-12      -8.375203677162e-15 
   66       2.349016442309e-10       3.696625421320e-14      -5.370415242015e-13       1.865696707761e-16       2.801631070937e-11       3.394122838713e-12      -8.368391462675e-15 
   67       2.380305530214e-10       3.859526556208e-14      -5.900106665130e-13       1.922766848121e-16       2.705065776891e-11       3.293554049511e-12      -8.357185643643e-15 
   68       2.411887309773e-10       4.025683799733e-14      -6.447007571398e-13       1.980695564223e-16       2.612425196149e-11       3.196776356645e-12      -8.344494580610e-15 
   69       2.443773587672e-10       4.195013362316e-14      -7.010904668319e-13       2.039484426320e-16       2.523641293472e-11       3.103731901645e-12      -8.330584115360e-15 
   70       2.475976563462e-10       4.367428307855e-14      -7.591519902647e-13       2.099135101362e-16       2.438734332350e-11       3.014469477471e-12      -8.314947544117e-15 
   71       2.508503812189e-10       4.542835639597e-14      -8.188544443676e-13       2.159649482606e-16       2.357656317446e-11       2.928969380443e-12      -8.296980060035e-15 
   72       2.541357983206e-10       4.721136219608e-14      -8.801638247266e-13       2.221029698918e-16       2.280287465367e-11       2.847139794346e-12      -8.275974377414e-15 
   73       2.574536498995e-10       4.902224688238e-14      -9.430429619872e-13       2.283278124076e-16       2.206432675421e-11       2.768813174526e-12      -8.251116355921e-15 
   74       2.608031253976e-10       5.085989383592e-14      -1.007451478257e-12       2.346397386076e-16       2.135818000381e-11       2.693742631990e-12      -8.221480624809e-15 
   75       2.641828313327e-10       5.272312260998e-14      -1.073345743510e-12       2.410390376428e-16       2.068087117244e-11       2.621598317501e-12      -8.186026207129e-15 
   76       2.675913965946e-10       5.461068810874e-14      -1.140681537569e-12       2.475259770913e-16       2.002889794718e-11       2.552051257955e-12      -8.144067348312e-15 
   77       2.710294823422e-10       5.652127973068e-14      -1.209422692856e-12       2.541006470376e-16       1.940173721874e-11       2.485050508303e-12      -8.096794796487e-15 
   78       2.744980856048e-10       5.845352060515e-14      -1.279533955804e-12       2.607630891181e-16       1.879939731188e-11       2.420590205062e-12      -8.046025273912e-15 
   79       2.779979195696e-10       6.040596680189e-14      -1.350978432787e-12       2.675133427837e-16       1.822152906656e-11       2.358624804510e-12      -7.993756164818e-15 
   80       2.815293964928e-10       6.237710652540e-14      -1.423717601996e-12       2.743514452281e-16       1.766740941022e-11       2.299067260063e-12      -7.942170884073e-15 
   81       2.850926106113e-10       6.436535930929e-14      -1.497711325327e-12       2.812774313159e-16       1.713592493008e-11       2.241787199652e-12      -7.893644245855e-15 
   82       2.886873210537e-10       6.636907521062e-14      -1.572917860265e-12       2.882913335117e-16       1.662555544541e-11       2.186609103106e-12      -7.850747832316e-15 
   83       2.923129347513e-10       6.838653400429e-14      -1.649293871762e-12       2.953931818080e-16       1.613435757989e-11       2.133310479525e-12      -7.816255362255e-15 
   84       2.959688363328e-10       7.041599202889e-14      -1.726794075549e-12       3.025830221437e-16       1.566043721421e-11       2.081677327066e-12      -7.792329480937e-15 
   85       2.996554780765e-10       7.245583341214e-14      -1.805370074079e-12       3.098609753240e-16       1.520349281973e-11       2.031685068459e-12      -7.777915472468e-15 
   86       3.033734401579e-10       7.450444255493e-14      -1.884971348501e-12       3.172271877825e-16       1.476349904705e-11       1.983344408544e-12      -7.770923314437e-15 
   87       3.071230886404e-10       7.656015870402e-14      -1.965545615674e-12       3.246818141952e-16       1.434023250362e-11       1.936645871570e-12      -7.768999575730e-15 
   88       3.109045642188e-10       7.862127594729e-14      -2.047038833864e-12       3.322250177198e-16       1.393326354247e-11       1.891558941304e-12      -7.769519027574e-15 
   89       3.147177709616e-10       8.068604320896e-14      -2.129395208424e-12       3.398569702350e-16       1.354194805098e-11       1.848031201139e-12      -7.769576254576e-15 
   90       3.185623650545e-10       8.275266424481e-14      -2.212557197490e-12       3.475778525795e-16       1.316541923970e-11       1.805987474201e-12      -7.765977265765e-15 
   91       3.224377435428e-10       8.481929763740e-14      -2.296465517665e-12       3.553878547913e-16       1.280257943104e-11       1.765328963456e-12      -7.755231105629e-15 
   92       3.263430330745e-10       8.688405679129e-14      -2.381059149709e-12       3.632871763468e-16       1.245209184809e-11       1.725932391823e-12      -7.733541465158e-15 
   93       3.302773740415e-10       8.894504114982e-14      -2.466276057385e-12       3.712760833954e-16       1.211269789209e-11       1.687681278336e-12      -7.697733344713e-15 
   94       3.342408463389e-10       9.100043522643e-14      -2.552055455316e-12       3.793550897904e-16       1.178424139535e-11       1.650567015230e-12      -7.648210689667e-15 
   95       3.382336626746e-10       9.304842452817e-14      -2.638335894321e-12       3.875248038536e-16       1.146678395112e-11       1.614601473740e-12      -7.586430142842e-15 
   96       3.422558784715e-10       9.508716607928e-14      -2.725054593914e-12       3.957858748147e-16       1.116028945763e-11       1.579785809414e-12      -7.514010014542e-15 
   97       3.463073846645e-10       9.711478884506e-14      -2.812147457785e-12       4.041389938322e-16       1.086462037484e-11       1.546110043345e-12      -7.432734728893e-15 
   98       3.503879004993e-10       9.912939415564e-14      -2.899549089276e-12       4.125848950151e-16       1.057953398111e-11       1.513552643409e-12      -7.344559270192e-15 
   99       3.544969663292e-10       1.011290561297e-13      -2.987192806862e-12       4.211243564449e-16       1.030467862993e-11       1.482080105496e-12      -7.251613629248e-15 
  100       3.586339364137e-10       1.031118220985e-13      -3.075010659625e-12       4.297582011962e-16       1.003959000657e-11       1.451646534746e-12      -7.156207249722e-15 
